"";"HF100";"HF101";"HF102";"HF103";"HF104";"HF105";"HF106";"HF107";"HF108";"HF109";"HF110";"HF112";"HF113";"HF114";"HF115";"HF116";"HF117";"HF119";"HF120";"HF124";"HF125";"HF126";"HF127";"HF129";"HF130";"HF131";"HF132";"HF133";"HF134";"HF135";"HF136";"HF137";"HF138";"HF139";"HF140";"HF142";"HF143";"HF144";"HF149";"HF151";"HF152";"HF153";"HF154";"HF156";"HF158";"HF159";"HF160";"HF161";"HF162";"HF163";"HF164";"HF169";"HF171";"HF172";"HF173";"HF178";"HF41";"HF46";"HF47";"HF50";"HF51";"HF52";"HF53";"HF54";"HF55";"HF56";"HF57";"HF58";"HF59";"HF60";"HF61";"HF62";"HF63";"HF64";"HF65";"HF66";"HF68";"HF71";"HF72";"HF73";"HF74";"HF75";"HF76";"HF77";"HF79";"HF80";"HF81";"HF82";"HF83";"HF84";"HF85";"HF90";"HF91";"HF92";"HF93";"HF94";"HF95";"HF96";"Domain";"Supergroup";"Division";"Subdivision";"Class";"Order";"Family";"Genus";"Species";"nutrition";"morphology";"locomotion";"habitat"
"Otu419";2;0;1;1;2;5;3;3;0;0;1;0;0;0;1;1;1;0;0;2;1;0;2;0;0;0;1;2;0;0;1;0;0;0;0;0;2;0;1;1;1;0;0;0;1;0;0;5;0;0;1;0;0;0;0;0;5;4;1;5;7;6;1;1;3;2;3;3;4;0;1;2;3;0;3;3;0;5;1;10;0;0;2;3;1;4;3;0;1;6;0;2;2;4;3;0;2;6;"Eukaryota";"Obazoa";"Opisthokonta";"Fungi";"Chytridiomycota";"Spizellomycetales";"Spizellomycetales_X";"Spizellomycetales_XX";"Spizellomycetales_XX_sp.";NA;NA;NA;NA
"Otu20";39;1;31;2;2;7;0;0;98;0;1;0;0;0;8;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;3;6;0;2;158;8;90;1;221;199;5;3;86;107;6;501;332;5;1;43;145;6;14;82;23;3;115;2;4;36;1;204;6;1;2;1;1;99;1;1;1;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Tardigrada";"Tardigrada_X";"Tardigrada_XX";"Tardigrada_XXX";"Tardigrada_XXX_sp.";NA;NA;NA;NA
"Otu181";3;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;28;29;13;11;25;13;16;19;14;33;37;14;9;4;8;5;4;8;8;11;14;12;18;9;10;10;5;4;4;2;6;3;3;0;1;5;0;0;3;4;1;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Chlorophyceae";"Chlamydomonadales";"Chlamydomonadales_X";"Tetracystis";NA;NA;NA;NA;NA
"Otu12";98;71;1;4;12;16;67;15;82;15;41;3;102;10;30;15;15;59;4;7;5;11;16;4;18;42;23;29;37;3;51;16;5;26;24;22;3;2;1;0;0;2;10;2;3;25;64;1;0;0;1;0;0;2;0;0;26;105;2;9;7;482;114;87;66;37;194;77;26;13;11;46;44;126;9;26;55;43;8;124;91;30;80;61;9;8;42;15;5;10;73;18;10;9;36;48;33;1;"Eukaryota";"Obazoa";"Opisthokonta";"Fungi";"Basidiomycota";"Agaricomycotina";"Agaricomycetes";"Agaricomycetes_X";"Agaricomycetes_X_sp.";NA;NA;NA;NA
"Otu121";17;6;12;6;7;6;11;7;11;7;6;0;0;7;3;3;2;9;3;2;2;2;1;1;3;5;0;4;2;6;1;2;5;1;4;0;0;0;1;0;0;0;2;7;1;0;0;0;0;0;0;0;0;0;0;0;33;39;17;46;12;28;8;20;17;24;34;38;9;32;29;25;21;13;21;36;3;33;23;29;15;33;7;26;18;22;6;8;12;6;7;13;17;5;15;6;34;37;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Paracercomonadidae";"Paracercomonas";"Paracercomonas_sp.";"bacterivore";"naked_amoeboflagellate";"gliding";"soil_and_freshwater"
"Otu1297";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Fungi";"Basidiomycota";"Pucciniomycotina";"Cystobasidiomycetes";NA;NA;NA;NA;NA;NA
"Otu627";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;3;0;0;1;0;0;1;6;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Stramenopiles";"Bigyra";"Sagenista";"Labyrinthulomycetes";"Amphifilaceae";NA;NA;NA;NA;NA;NA
"Otu5";155;97;38;27;39;111;79;40;64;50;71;18;27;59;33;13;18;145;48;18;65;58;178;154;67;123;102;48;72;115;52;227;61;222;90;106;73;86;466;133;119;115;119;184;155;110;213;73;275;88;496;64;63;372;66;130;267;226;105;155;125;507;259;190;159;126;323;227;170;240;313;432;232;556;268;429;66;567;208;309;155;188;117;345;164;839;64;98;106;112;79;146;287;50;89;89;69;60;"Eukaryota";"Obazoa";"Opisthokonta";"Fungi";"Mucoromycota";"Mucoromycotina";"Mucoromycotina_X";"Mucoromycotina_XX";"Mucoromycotina_XX_sp.";NA;NA;NA;NA
"Otu131";39;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;6;0;23;0;0;0;2;0;2;3;2;3;3;362;3;0;1;0;9;0;1;0;2;0;0;1;1;0;0;1;8;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Fungi";"Ascomycota";"Pezizomycotina";"Leotiomycetes";NA;NA;NA;NA;NA;NA
"Otu71";3;8;5;7;50;38;6;2;10;9;16;0;2;3;18;1;1;10;6;6;2;3;2;9;1;4;9;6;3;5;8;4;0;8;4;0;0;0;0;0;0;1;4;1;0;7;0;0;1;1;0;0;0;0;0;0;4;3;2;3;2;2;2;2;5;4;9;2;4;3;5;2;24;5;5;7;5;9;3;5;9;5;8;10;8;1;2;1;4;2;6;2;2;3;7;5;7;8;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Otu286";0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;3;2;3;5;6;7;3;1;6;5;7;3;8;7;5;0;0;3;4;0;2;1;9;1;4;0;5;0;1;0;0;2;5;0;2;0;0;0;2;1;4;"Eukaryota";"Amoebozoa";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Otu29";74;6;23;11;11;7;6;11;18;4;7;1;9;3;14;4;9;9;5;2;0;3;5;4;0;3;1;1;5;2;1;4;3;3;1;0;1;1;0;0;1;0;0;5;0;1;0;0;0;0;0;0;1;1;0;0;24;18;12;21;20;25;12;27;26;23;19;42;16;18;30;33;27;10;12;37;0;34;23;20;33;22;5;20;20;31;13;7;14;18;24;14;21;14;22;13;33;70;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Cercomonadidae";"Eocercomonas";"Eocercomonas_sp.";"omnivore";"naked_amoeboflagellate";"gliding";"soil_and_freshwater"
"Otu365";0;0;2;0;2;0;0;1;3;0;0;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;7;0;0;2;0;0;1;2;1;1;3;4;5;6;1;5;2;0;1;0;0;0;2;0;2;5;3;0;0;2;1;5;3;0;15;7;2;3;4;0;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Chrysophyceae";"Ochromonadales";"Ochromonadaceae";"Poterioochromonas";NA;NA;NA;NA;NA
"Otu251";0;1;1;0;0;20;0;3;0;2;0;8;3;0;0;3;0;3;0;3;1;0;0;2;0;4;2;1;0;0;2;0;0;3;6;2;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;4;3;6;0;0;0;1;1;1;0;0;0;1;0;8;4;3;0;1;0;4;0;1;11;2;1;1;1;0;0;2;1;2;2;0;0;32;6;0;0;2;0;"Eukaryota";"Obazoa";"Opisthokonta";"Fungi";"Basidiomycota";"Agaricomycotina";"Tremellomycetes";NA;NA;NA;NA;NA;NA
"Otu30";35;9;14;13;28;24;22;33;52;13;12;25;13;31;3;9;24;13;54;11;20;26;13;22;5;13;15;12;13;18;22;9;9;13;22;26;29;21;25;12;23;35;97;28;20;30;39;38;42;74;22;19;16;12;14;25;59;73;57;62;38;31;53;21;40;52;47;25;66;44;28;68;37;28;48;57;30;51;43;32;22;53;40;86;64;27;25;18;36;48;27;45;40;24;24;49;105;34;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Glissomonadida";"Allapsidae";"Group-Te";"Group_Te_sp.";NA;NA;NA;NA
"Otu23";18;14;13;34;3;5;0;6;5;4;7;11;9;0;3;10;5;11;12;0;0;2;5;3;1;20;4;0;6;0;2;4;7;3;15;0;4;12;1;1;13;13;7;8;7;13;19;19;22;6;38;4;21;273;23;19;15;5;3;27;7;16;7;26;15;25;19;62;9;34;12;11;15;9;20;16;9;48;10;9;18;19;17;13;13;31;5;12;11;5;10;13;30;3;4;8;12;12;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Cercomonadidae";"Cercomonas";"Cercomonas_sp.";"omnivore";"naked_amoeboflagellate";"gliding";"soil_and_freshwater"
"Otu2";212;529;561;594;871;678;858;446;521;653;471;305;763;482;423;424;361;634;425;837;528;688;597;1060;389;478;661;837;687;497;971;805;626;729;554;534;421;362;514;263;310;491;373;363;544;789;435;243;246;242;264;128;176;243;170;198;84;114;94;132;153;136;108;240;258;127;111;139;158;136;134;153;158;259;107;135;45;103;139;180;256;178;155;152;240;180;277;186;344;270;286;244;315;899;460;377;263;308;"Eukaryota";"Obazoa";"Opisthokonta";"Fungi";"Basidiomycota";"Agaricomycotina";"Tremellomycetes";"Tremellomycetes_X";"Tremellomycetes_X_sp.";NA;NA;NA;NA
"Otu48";6;13;30;5;14;8;14;14;20;25;14;7;9;11;19;8;4;16;9;35;16;15;27;19;8;16;32;27;24;8;39;12;35;35;22;47;28;22;30;33;7;32;17;19;33;33;22;8;4;0;6;2;6;1;4;11;15;13;0;5;6;5;5;7;12;2;7;8;4;3;15;37;9;6;36;10;3;14;12;12;15;7;12;5;10;1;6;4;7;30;7;23;13;7;11;10;7;40;"Eukaryota";"Obazoa";"Opisthokonta";"Fungi";"Zoopagomycota";"Entomophthoromycotina";"Entomophthoromycotina_X";"Basidiobolus";NA;NA;NA;NA;NA
