,HF100,HF101,HF102,HF103,HF104,HF105,HF106,HF107,HF108,HF109,HF110,HF112,HF113,HF114,HF115,HF116,HF117,HF119,HF120,HF124,HF125,HF126,HF127,HF129,HF130,HF131,HF132,HF133,HF134,HF135,HF136,HF137,HF138,HF139,HF140,HF142,HF143,HF144,HF149,HF151,HF152,HF153,HF154,HF156,HF158,HF159,HF160,HF161,HF162,HF163,HF164,HF169,HF171,HF172,HF173,HF178,HF41,HF46,HF47,HF50,HF51,HF52,HF53,HF54,HF55,HF56,HF57,HF58,HF59,HF60,HF61,HF62,HF63,HF64,HF65,HF66,HF68,HF71,HF72,HF73,HF74,HF75,HF76,HF77,HF79,HF80,HF81,HF82,HF83,HF84,HF85,HF90,HF91,HF92,HF93,HF94,HF95,HF96,taxonomy,nutrition,morphology,locomotion,habitat
Otu77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,4,0,18,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Thecofilosea;Tectofilosida;Tectofilosida_X;Fisculla,eukaryvore,testate_cell_organic,gliding,soil_and_freshwater
Otu2,1544,56,46,150,57,182,11,22,572,59,32,30,314,12,12,49,93,29,2095,142,12,5,0,18,0,0,0,0,59,1,0,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,22,0,17,0,80,0,0,0,0,15,7,80,0,70,0,14,0,0,1,1,1,25,26,28,14,926,13,0,0,4,66,37,88,5,351,505,233,31,65,Eukaryota;TSAR;Rhizaria;Cercozoa;Endomyxa-Phytomyxea;Plasmodiophorida;Plasmodiophorida_X,NA,NA,NA,NA
Otu35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,19,1,0,0,0,0,0,0,2,18,0,0,0,0,11,0,49,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Unassigned,NA,NA,NA,NA
Otu14,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,7,0,4,0,4,14,0,7,1,0,12,5,32,0,1,50,19,109,84,124,48,13,41,0,0,129,0,0,181,0,16,181,42,221,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Allantion;Allantion_sp.;,bacterivore,naked_flagellate,gliding,soil_and_freshwater
Otu74,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,2,2,6,29,0,0,0,0,8,3,0,3,0,7,0,23,0,3,17,8,0,0,0,0,5,0,8,3,3,0,0,5,0,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Allapsidae_X;Allapsidae_X_sp.;,bacterivore,naked_flagellate,gliding,soil_and_freshwater
Otu153,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Unassigned,NA,NA,NA,NA
Otu3,29,1,1,82,0,1,46,6,1,1,0,2,2,16,92,12,17,1,0,0,1,2,0,6,0,5,1,0,0,0,3,1,0,3,94,0,0,0,2,5,3,1,4,0,0,34,1,0,4,6,21,0,1,2,0,21,18,0,82,0,22,0,148,48,86,13,0,2,8,1,138,65,6,52,22,29,4,135,2,80,20,872,477,1178,5,343,15,140,11,1,79,38,3,1,1,15,209,74,Eukaryota;TSAR;Rhizaria;Cercozoa;Endomyxa-Phytomyxea;Plasmodiophorida;Polymyxa-lineage;Polymyxa,plant_parasite,endoparasite,non_motile,soil_and_freshwater
Otu49,0,0,0,0,0,5,0,0,36,0,0,0,4,11,16,0,1,0,0,4,0,0,0,8,4,0,1,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Allapsidae_X;Allapsidae_X_sp.;,bacterivore,naked_flagellate,gliding,soil_and_freshwater
Otu104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,1,0,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned,NA,NA,NA,NA
Otu47,1,0,0,57,2,0,0,12,0,20,0,0,0,7,0,13,4,0,0,0,1,0,0,1,0,0,6,8,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Allapsidae_X;Allapsidae_X_sp.;,bacterivore,naked_flagellate,gliding,soil_and_freshwater
