"";"HF100";"HF101";"HF102";"HF103";"HF104";"HF105";"HF106";"HF107";"HF108";"HF109";"HF110";"HF112";"HF113";"HF114";"HF115";"HF116";"HF117";"HF119";"HF120";"HF124";"HF125";"HF126";"HF127";"HF129";"HF130";"HF131";"HF132";"HF133";"HF134";"HF135";"HF136";"HF137";"HF138";"HF139";"HF140";"HF142";"HF143";"HF144";"HF149";"HF151";"HF152";"HF153";"HF154";"HF156";"HF158";"HF159";"HF160";"HF161";"HF162";"HF163";"HF164";"HF169";"HF171";"HF172";"HF173";"HF178";"HF41";"HF46";"HF47";"HF50";"HF51";"HF52";"HF53";"HF54";"HF55";"HF56";"HF57";"HF58";"HF59";"HF60";"HF61";"HF62";"HF63";"HF64";"HF65";"HF66";"HF68";"HF71";"HF72";"HF73";"HF74";"HF75";"HF76";"HF77";"HF79";"HF80";"HF81";"HF82";"HF83";"HF84";"HF85";"HF90";"HF91";"HF92";"HF93";"HF94";"HF95";"HF96";"Domain";"Supergroup";"Division";"Subdivision";"Class";"Order";"Family";"Genus";"Species";"nutrition";"morphology";"locomotion";"habitat"
"Otu224";1;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;2;0;0;1;0;2;2;5;4;4;2;6;1;1;2;1;11;2;0;1;1;2;13;4;8;4;6;1;1;1;0;4;12;5;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Glissomonadida";"Allapsidae";"Group-Te";"Group_Te_sp.";NA;NA;NA;NA
"Otu11";0;0;0;2;0;4;11;0;0;0;8;20;0;0;35;0;1;1;4;0;5;14;0;11;0;1;0;0;18;0;0;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;12;0;0;0;0;0;1;4;0;0;0;0;0;0;2;0;0;0;8;3;0;0;0;0;0;5;2;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Endomyxa-Phytomyxea";"Plasmodiophorida";"Polymyxa-lineage";"Polymyxa";"Polymyxa_graminis";"plant_parasite";"endoparasite";"non_motile";"soil_and_freshwater"
"Otu77";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Thecofilosea";"Tectofilosida";"Tectofilosida_X";"Fisculla";NA;"eukaryvore";"testate_cell_organic";"gliding";"soil_and_freshwater"
"Otu2";132;16;22;32;18;57;4;5;71;20;15;7;63;0;1;16;7;16;94;45;1;1;0;4;0;0;0;0;33;1;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;3;0;12;0;18;0;0;0;0;3;3;13;0;22;0;5;0;0;0;0;1;9;2;6;4;93;3;0;0;2;10;4;15;1;28;18;40;5;17;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Endomyxa-Phytomyxea";"Plasmodiophorida";"Plasmodiophorida_X";NA;NA;NA;NA;NA;NA
"Otu14";0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;0;6;1;0;4;3;14;0;0;3;5;7;17;28;4;1;4;0;0;13;0;0;13;0;0;19;9;10;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Glissomonadida";"Allapsidae";"Allantion";"Allantion_sp.";"bacterivore";"naked_flagellate";"gliding";"soil_and_freshwater"
"Otu74";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;7;0;0;0;0;1;2;0;0;0;0;0;6;0;0;2;1;0;0;0;0;2;0;2;1;0;0;0;1;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Glissomonadida";"Allapsidae";"Allapsidae_X";"Allapsidae_X_sp.";"bacterivore";"naked_flagellate";"gliding";"soil_and_freshwater"
"Otu3";6;0;1;22;0;0;18;1;0;1;0;1;1;1;18;1;2;0;0;0;0;1;0;2;0;4;1;0;0;0;3;1;0;2;20;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;2;5;0;9;0;9;0;16;9;5;0;0;0;1;0;19;14;3;8;4;8;0;13;1;24;4;84;71;110;0;77;5;36;6;0;17;3;0;0;0;3;26;15;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Endomyxa-Phytomyxea";"Plasmodiophorida";"Polymyxa-lineage";"Polymyxa";NA;"plant_parasite";"endoparasite";"non_motile";"soil_and_freshwater"
"Otu49";0;0;0;0;0;2;0;0;2;0;0;0;1;1;2;0;0;0;0;2;0;0;0;2;2;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Glissomonadida";"Allapsidae";"Allapsidae_X";"Allapsidae_X_sp.";"bacterivore";"naked_flagellate";"gliding";"soil_and_freshwater"
"Otu47";1;0;0;22;1;0;0;3;0;5;0;0;0;0;0;3;1;0;0;0;1;0;0;0;0;0;3;4;0;0;0;0;6;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Glissomonadida";"Allapsidae";"Allapsidae_X";"Allapsidae_X_sp.";"bacterivore";"naked_flagellate";"gliding";"soil_and_freshwater"
"Otu44";0;17;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;5;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;7;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Thecofilosea";"Tectofilosida";"Tectofilosida_X";"Fisculla";NA;"eukaryvore";"testate_cell_organic";"gliding";"soil_and_freshwater"
